original_gene_id	renamed_gene_id
prot_L-elsbetiae_contig8.16981.1	c_organisms_00138
mRNA_L-elsbetiae_contig8.16982.1	c_organisms_00139
prot_L-elsbetiae_contig8.16982.1	c_organisms_00140
mRNA_L-elsbetiae_contig9.18001.1	c_organisms_00141
prot_L-elsbetiae_contig9.18001.1	c_organisms_00142
mRNA_L-elsbetiae_contig9.18002.1	c_organisms_00143
prot_L-elsbetiae_contig9.18002.1	c_organisms_00144
mRNA_L-elsbetiae_contig9.18003.1	c_organisms_00145
prot_L-elsbetiae_contig9.18003.1	c_organisms_00146
mRNA_L-elsbetiae_contig9.18004.1	c_organisms_00147
prot_L-elsbetiae_contig9.18004.1	c_organisms_00148
mRNA_L-elsbetiae_contig9.18005.1	c_organisms_00149
prot_L-elsbetiae_contig9.18005.1	c_organisms_00150
mRNA_L-elsbetiae_contig9.18006.1	c_organisms_00151
prot_L-elsbetiae_contig9.18006.1	c_organisms_00152
mRNA_L-elsbetiae_contig9.18007.1	c_organisms_00153
prot_L-elsbetiae_contig9.18007.1	c_organisms_00154
mRNA_L-elsbetiae_contig9.18008.1	c_organisms_00155
prot_L-elsbetiae_contig9.18008.1	c_organisms_00156
mRNA_L-elsbetiae_contig9.18009.1	c_organisms_00157
prot_L-elsbetiae_contig9.18009.1	c_organisms_00158
mRNA_L-elsbetiae_contig10.3.1	c_organisms_00159
prot_L-elsbetiae_contig10.3.1	c_organisms_00160
mRNA_L-elsbetiae_contig10.4.1	c_organisms_00161
prot_L-elsbetiae_contig10.4.1	c_organisms_00162
mRNA_L-elsbetiae_contig10.5.1	c_organisms_00163
prot_L-elsbetiae_contig10.5.1	c_organisms_00164
mRNA_L-elsbetiae_contig10.6.1	c_organisms_00165
prot_L-elsbetiae_contig10.6.1	c_organisms_00166
mRNA_L-elsbetiae_contig10.7.1	c_organisms_00167
prot_L-elsbetiae_contig10.7.1	c_organisms_00168
mRNA_L-elsbetiae_contig10.8.1	c_organisms_00169
prot_L-elsbetiae_contig10.8.1	c_organisms_00170
mRNA_L-elsbetiae_contig10.9.1	c_organisms_00171
prot_L-elsbetiae_contig10.9.1	c_organisms_00172
mRNA_L-elsbetiae_contig10.10.1	c_organisms_00173
prot_L-elsbetiae_contig10.10.1	c_organisms_00174
mRNA_L-elsbetiae_contig10.11.1	c_organisms_00175
prot_L-elsbetiae_contig10.11.1	c_organisms_00176
mRNA_L-elsbetiae_contig10.12.1	c_organisms_00177
prot_L-elsbetiae_contig10.12.1	c_organisms_00178
mRNA_L-elsbetiae_contig10.13.1	c_organisms_00179
prot_L-elsbetiae_contig10.13.1	c_organisms_00180
mRNA_L-elsbetiae_contig10.14.1	c_organisms_00181
prot_L-elsbetiae_contig10.14.1	c_organisms_00182
mRNA_L-elsbetiae_contig10.15.1	c_organisms_00183
prot_L-elsbetiae_contig10.15.1	c_organisms_00184
