pathway	Desmarestia_herbacea_m_completion_rate	Myriotrichia_clavaeformis_FEMALE_completion_rate	Undaria_pinnatifida_Kr2015_completion_rate	Ectocarpus_siliculosus_m_completion_rate	Ectocarpus_fasciculatus_m_completion_rate	Macrocystis_pyrifera_MALE_completion_rate	Cladosiphon_okamuranus_completion_rate	Dictyota_dichotoma_m_completion_rate	Ectocarpus_species7_completion_rate	Himanthalia_elongata_completion_rate	Hapterophycus_canaliculatus_FEMALE_completion_rate	Ectocarpus_crouaniorum_m_completion_rate	Heribaudiella_fluviatilis_completion_rate	Saccorhiza_polyschides_MALE_completion_rate	Feldmannia_mitchelliae_completion_rate	Saccharina_latissima_FEMALE_completion_rate	Saccharina_japonica_completion_rate	Fragilariopsis_cylindrus_completion_rate	Phaeodactylum_tricornutum_completion_rate	Nemacystus_decipiens_completion_rate	Porterinema_fluviatile_completion_rate	Ectocarpus_subulatus_completion_rate	Nannochloropsis_gaditana_completion_rate	Thalassiosira_pseudonana_completion_rate	Fucus_serratus_MALE_completion_rate	Pelvetia_canaliculata_completion_rate	Scytosiphon_promiscuus_MALE_completion_rate	Fucus_distichus_completion_rate	Schizocladia_ischiensis_completion_rate	Laminarionema_elsbetiae_completion_rate	Desmarestia_dudresnayi_completion_rate	Saccorhiza_dermatodea_completion_rate	Chordaria_linearis_completion_rate	Pleurocladia_lacustris_completion_rate	Fistulifera_solaris_completion_rate	Desmarestia_herbacea_m_rxn_assoc (sep=;)	Myriotrichia_clavaeformis_FEMALE_rxn_assoc (sep=;)	Undaria_pinnatifida_Kr2015_rxn_assoc (sep=;)	Ectocarpus_siliculosus_m_rxn_assoc (sep=;)	Ectocarpus_fasciculatus_m_rxn_assoc (sep=;)	Macrocystis_pyrifera_MALE_rxn_assoc (sep=;)	Cladosiphon_okamuranus_rxn_assoc (sep=;)	Dictyota_dichotoma_m_rxn_assoc (sep=;)	Ectocarpus_species7_rxn_assoc (sep=;)	Himanthalia_elongata_rxn_assoc (sep=;)	Hapterophycus_canaliculatus_FEMALE_rxn_assoc (sep=;)	Ectocarpus_crouaniorum_m_rxn_assoc (sep=;)	Heribaudiella_fluviatilis_rxn_assoc (sep=;)	Saccorhiza_polyschides_MALE_rxn_assoc (sep=;)	Feldmannia_mitchelliae_rxn_assoc (sep=;)	Saccharina_latissima_FEMALE_rxn_assoc (sep=;)	Saccharina_japonica_rxn_assoc (sep=;)	Fragilariopsis_cylindrus_rxn_assoc (sep=;)	Phaeodactylum_tricornutum_rxn_assoc (sep=;)	Nemacystus_decipiens_rxn_assoc (sep=;)	Porterinema_fluviatile_rxn_assoc (sep=;)	Ectocarpus_subulatus_rxn_assoc (sep=;)	Nannochloropsis_gaditana_rxn_assoc (sep=;)	Thalassiosira_pseudonana_rxn_assoc (sep=;)	Fucus_serratus_MALE_rxn_assoc (sep=;)	Pelvetia_canaliculata_rxn_assoc (sep=;)	Scytosiphon_promiscuus_MALE_rxn_assoc (sep=;)	Fucus_distichus_rxn_assoc (sep=;)	Schizocladia_ischiensis_rxn_assoc (sep=;)	Laminarionema_elsbetiae_rxn_assoc (sep=;)	Desmarestia_dudresnayi_rxn_assoc (sep=;)	Saccorhiza_dermatodea_rxn_assoc (sep=;)	Chordaria_linearis_rxn_assoc (sep=;)	Pleurocladia_lacustris_rxn_assoc (sep=;)	Fistulifera_solaris_rxn_assoc (sep=;)
PWY3O-1801	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	1/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	1/2			2/2	2/2			2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	1/2	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664			RXN-10664;RXN-10662	RXN-10664;RXN-10662			RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664;RXN-10662	RXN-10664
PWY-7270	4/4	4/4	4/4		4/4	4/4	4/4	4/4	3/4	4/4	4/4	4/4	4/4	4/4	4/4		4/4		2/4		4/4				4/4		4/4	4/4	4/4			4/4		4/4	4/4	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754		4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754		4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754		4.4.1.14-RXN;SAM-PWY		4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754				4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754		4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754			4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754		4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754	4.4.1.14-RXN;SAM-PWY;PWY-4361;PWY-6754
HEME-BIOSYNTHESIS-II-1	3/4	3/4	1/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	3/4	2/4	2/4		3/4	3/4	2/4	2/4	3/4	4/4	3/4	3/4	3/4	2/4	3/4	3/4	3/4	3/4	3/4	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461		UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN-21483;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-1461;PROTOHEMEFERROCHELAT-RXN
HEMESYN2-PWY	2/4	2/4	1/4	2/4	2/4	3/4	2/4	2/4	2/4	2/4	2/4	2/4	3/4	3/4	2/4	2/4	2/4	2/4	1/4		2/4	2/4	3/4	1/4	2/4	4/4	2/4	2/4	2/4	1/4	2/4	2/4	2/4	2/4	3/4	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;HEMN-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;HEMN-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;HEMN-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN		UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;HEMN-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;RXN0-6259;HEMN-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;PROTOHEMEFERROCHELAT-RXN	UROGENDECARBOX-RXN;HEMN-RXN;PROTOHEMEFERROCHELAT-RXN
PWY-7347	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3		1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN		PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN	PGLUCISOM-RXN
PWY-6848	1/3	1/3	1/3	1/3	1/3		1/3	1/3		1/3	1/3	1/3	1/3	1/3	1/3	1/3	1/3				1/3	1/3			1/3		1/3	1/3	1/3		1/3		1/3	1/3		QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN		QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN		QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN				QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN			QUERCETIN-23-DIOXYGENASE-RXN		QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN		QUERCETIN-23-DIOXYGENASE-RXN		QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	
PWY-5532	3/10	4/10	2/10	3/10	3/10	4/10	1/10	2/10		3/10	3/10	3/10	3/10	3/10	2/10	2/10	3/10	3/10	1/10		3/10	1/10	3/10	2/10	3/10	4/10	2/10	3/10	2/10	3/10	5/10	3/10	3/10	2/10	4/10	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;RXN0-5199;CYTIKIN-RXN;ADENPHOSPHOR-RXN	URPHOS-RXN;CYTIKIN-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	RXN0-5199;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN;ADENPHOSPHOR-RXN	CYTIKIN-RXN	CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN		URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN	URPHOS-RXN;CYTIKIN-RXN	RXN0-5199;CYTIKIN-RXN;ADENPHOSPHOR-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN		URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	CYTIKIN-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;ADENPHOSPHOR-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;RXN0-5199;CYTIKIN-RXN;ADENPHOSPHOR-RXN	URPHOS-RXN;CYTIKIN-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN;CYTIKIN-RXN;RXN0-5199;ADENPHOSPHOR-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	URPHOS-RXN;CYTIKIN-RXN	RXN0-5199;CYTIKIN-RXN;RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN;ADENPHOSPHOR-RXN
PWY-8203	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5		1/5	1/5	1/5	1/5	1/5	1/5	1/5					1/5		1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484		RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484					RXN-11484		RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484	RXN-11484
ETOH-ACETYLCOA-ANA-PWY	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2		1/2	1/2	1/2	1/2	2/2	1/2	1/2	1/2		1/2		1/2			1/2	1/2	1/2	1/2	2/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN		ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ACETALD-DEHYDROG-RXN;ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN		ALCOHOL-DEHYDROG-RXN		ALCOHOL-DEHYDROG-RXN			ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ACETALD-DEHYDROG-RXN;ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN	ALCOHOL-DEHYDROG-RXN
PWY-6559	1/4	1/4	1/4	1/4	1/4	1/4	2/4	1/4	2/4	1/4	1/4	1/4	2/4	2/4	1/4	1/4	2/4	2/4		1/4	1/4	2/4	2/4	2/4	1/4	2/4	1/4	1/4	2/4	2/4	1/4	1/4	1/4	1/4	2/4	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	RXN-11566;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN		ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATEKIN-RXN	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN;ASPARTATEKIN-RXN
PWY-8052	3/7	2/7	3/7	3/7	2/7	3/7	1/7	3/7	2/7	4/7	2/7	2/7	2/7	3/7	3/7	2/7	1/7				2/7	3/7		3/7	3/7	1/7	3/7	4/7	3/7	3/7	3/7	3/7	3/7	3/7	3/7	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20519	RXN-20523;RXN-20534;RXN-20519	RXN-20535	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20519	RXN-20523;RXN-20534;RXN-20519;RXN-20535	RXN-20523;RXN-20519	RXN-20523;RXN-20519	RXN-20523;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20519	RXN-20535				RXN-20523;RXN-20519	RXN-20523;RXN-20535;RXN-20519		RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20535	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20534;RXN-20519;RXN-20535	RXN-20523;RXN-20534;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519	RXN-20523;RXN-20535;RXN-20519
