metabolite	Desmarestia_herbacea_m_rxn_consume	Porterinema_fluviatile_rxn_consume	Ectocarpus_siliculosus_m_rxn_consume	Dictyota_dichotoma_m_rxn_consume	Chordaria_linearis_rxn_consume	Thalassiosira_pseudonana_rxn_consume	Ectocarpus_crouaniorum_m_rxn_consume	Pleurocladia_lacustris_rxn_consume	Ectocarpus_fasciculatus_m_rxn_consume	Fragilariopsis_cylindrus_rxn_consume	Phaeodactylum_tricornutum_rxn_consume	Schizocladia_ischiensis_rxn_consume	Fucus_serratus_MALE_rxn_consume	Fistulifera_solaris_rxn_consume	Saccharina_latissima_FEMALE_rxn_consume	Nannochloropsis_gaditana_rxn_consume	Scytosiphon_promiscuus_MALE_rxn_consume	Desmarestia_herbacea_m_rxn_produce	Porterinema_fluviatile_rxn_produce	Ectocarpus_siliculosus_m_rxn_produce	Dictyota_dichotoma_m_rxn_produce	Chordaria_linearis_rxn_produce	Thalassiosira_pseudonana_rxn_produce	Ectocarpus_crouaniorum_m_rxn_produce	Pleurocladia_lacustris_rxn_produce	Ectocarpus_fasciculatus_m_rxn_produce	Fragilariopsis_cylindrus_rxn_produce	Phaeodactylum_tricornutum_rxn_produce	Schizocladia_ischiensis_rxn_produce	Fucus_serratus_MALE_rxn_produce	Fistulifera_solaris_rxn_produce	Saccharina_latissima_FEMALE_rxn_produce	Nannochloropsis_gaditana_rxn_produce	Scytosiphon_promiscuus_MALE_rxn_produce
S-ACETYLDIHYDROLIPOAMIDE																		DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN	DIHYDLIPACETRANS-RXN
4-hydroxybenzoate	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	RXN-11368;RXN-9222;2.5.1.39-RXN;RXN-9003;RXN-9230;4OHBENZOATE-OCTAPRENYLTRANSFER-RXN																	
ETR-Quinols	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816;RXN-14970	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-15816	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;1.6.99.5-RXN;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-11193;R17-RXN;RXN-12242;RXN-14971;RXN-15745;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;1.6.99.5-RXN;RXN-12242;RXN-14971;NQOR-RXN;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-11193;RXN-12242;RXN-14971;RXN-15745;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;R17-RXN;RXN-12242;RXN-14971;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-11193;RXN-12242;RXN-14971;RXN-15745;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-11193;RXN-12242;RXN-14971;RXN-15745;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;GLUCOSE-DEHYDROGENASE-ACCEPTOR-RXN;RXN0-7229;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;R17-RXN;RXN-12242;RXN-14971;RXN-14903	RXN-11356;RXN-19141;RXN-19142;RXN0-7230;RXN-11357;DIHYDROOROTATE-DEHYDROGENASE-RXN;RXN-15745;RXN-12242;RXN-14971;RXN0-7229;RXN-14903
CPD-24367																		RXN-22360	RXN-22360	RXN-22360	RXN-22360	RXN-22360		RXN-22360	RXN-22360	RXN-22360			RXN-22360	RXN-22360	RXN-22360		RXN-22360	RXN-22360
N-terminal-L-alanine	RXN-17860	RXN-17860	RXN-17860	RXN-17860	RXN-17860		RXN-17860	RXN-17860	RXN-17860			RXN-17860	RXN-17860		RXN-17860		RXN-17860	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873	RXN-17873
Accep-Xyloglucan-With-Xyloglucanyl-Segs																		2.4.1.207-RXN	2.4.1.207-RXN	2.4.1.207-RXN	2.4.1.207-RXN	2.4.1.207-RXN		2.4.1.207-RXN	2.4.1.207-RXN	2.4.1.207-RXN			2.4.1.207-RXN	2.4.1.207-RXN				2.4.1.207-RXN
Methyl-thioethers																		THIOL-S-METHYLTRANSFERASE-RXN	THIOL-S-METHYLTRANSFERASE-RXN	THIOL-S-METHYLTRANSFERASE-RXN		THIOL-S-METHYLTRANSFERASE-RXN		THIOL-S-METHYLTRANSFERASE-RXN	THIOL-S-METHYLTRANSFERASE-RXN	THIOL-S-METHYLTRANSFERASE-RXN			THIOL-S-METHYLTRANSFERASE-RXN	THIOL-S-METHYLTRANSFERASE-RXN				THIOL-S-METHYLTRANSFERASE-RXN
CPD0-2350	3.1.27.9-RXN	3.1.27.9-RXN	3.1.27.9-RXN	3.1.27.9-RXN	3.1.27.9-RXN		3.1.27.9-RXN	3.1.27.9-RXN	3.1.27.9-RXN			3.1.27.9-RXN	3.1.27.9-RXN		RXN0-6478;RXN0-6485;3.1.27.9-RXN	3.1.27.9-RXN	3.1.27.9-RXN															RXN0-6478;RXN0-6485		
Elongation-factor-2-P																		2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN	2.7.11.20-RXN		2.7.11.20-RXN
CPD66-21	RXN66-337	RXN66-337	RXN66-337	RXN66-337	RXN66-337		RXN66-337	RXN66-337	RXN66-337			RXN66-337	RXN66-337		RXN66-337		RXN66-337	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336	RXN66-336
N-Acyl-Peptides	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN	ACYLAMINOACYL-PEPTIDASE-RXN																	
Lysosomal-PX-Carboxypeptidase-Substrates	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN		3.4.16.2-RXN	3.4.16.2-RXN		3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN	3.4.16.2-RXN																	
SEDOHEPTULOSE	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915	RXN-19915																	
Aliphatic-Amines	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN		AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN	AMINEOXID-RXN																	
CPD-700	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN-707	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218	RXN3O-218
1-Palmitoyl-2-Acyl-Glycerol-P	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20566	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565	RXN-20565
L-GAMMA-GLUTAMYLCYSTEINE	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN		GLUTATHIONE-SYN-RXN	GLUTATHIONE-SYN-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN	GLUTCYSLIG-RXN
Uracil20a-in-tRNAs	RXN-12475	RXN-12475	RXN-12475	RXN-12475	RXN-12475		RXN-12475	RXN-12475	RXN-12475			RXN-12475	RXN-12475		RXN-12475		RXN-12475																	
CPD-21707																		RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900		RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900	RXN-20900
CPD-22841	RXN-21218	RXN-21218	RXN-21218	RXN-21218	RXN-21218		RXN-21218	RXN-21218	RXN-21218			RXN-21218	RXN-21218		RXN-21218		RXN-21218																	
CPD-19733	RXN-18364	RXN-18364	RXN-18364	RXN-18364	RXN-18364		RXN-18364	RXN-18364	RXN-18364			RXN-18364	RXN-18364	RXN-18364	RXN-18364	RXN-18364	RXN-18364																	
OHyW-58-tRNAPhe	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14540	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539	RXN-14539
Palmitoleoyl-phospholipid	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65	RXN1G01-65																	
1-5-L-Arabinooligosaccharides	3.2.1.55-RXN		3.2.1.55-RXN	3.2.1.55-RXN	3.2.1.55-RXN		3.2.1.55-RXN	3.2.1.55-RXN	3.2.1.55-RXN			3.2.1.55-RXN	3.2.1.55-RXN		3.2.1.55-RXN		3.2.1.55-RXN	RXN-19757;3.2.1.55-RXN		RXN-19757;3.2.1.55-RXN	RXN-19757;3.2.1.55-RXN	RXN-19757;3.2.1.55-RXN		RXN-19757;3.2.1.55-RXN	RXN-19757;3.2.1.55-RXN	RXN-19757;3.2.1.55-RXN			RXN-19757;3.2.1.55-RXN	RXN-19757;3.2.1.55-RXN		RXN-19757;3.2.1.55-RXN		RXN-19757;3.2.1.55-RXN
CPD-14283	RXN-13309	RXN-13309	RXN-13309	RXN-13309	RXN-13309		RXN-13309	RXN-13309	RXN-13309			RXN-13309	RXN-13309		RXN-13309		RXN-13309	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305	RXN-13305
CPD-15566																		RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714	RXN-14714
CPD0-2353																		3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN	3.1.26.5-RXN
TRIPEPTIDES	3.4.11.4-RXN																	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;RXN-11698	3.4.14.10-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698	3.4.14.10-RXN;RXN-11698	3.4.14.10-RXN;3.4.14.9-RXN;RXN-11698
Alpha-D-Galactosides	RXN-12088	RXN-12088	RXN-12088	RXN-12088	RXN-12088		RXN-12088	RXN-12088	RXN-12088			RXN-12088	RXN-12088		RXN-12088		RXN-12088																	
Sphingadienine	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403	RXN-20403																	
CPD-520	RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN	RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN	RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN	RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN	RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN		RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN			RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN	QUERCETIN-23-DIOXYGENASE-RXN		RXN-10788;QUERCETIN-23-DIOXYGENASE-RXN		QUERCETIN-23-DIOXYGENASE-RXN										QUERCITRINASE-RXN						QUERCITRINASE-RXN	
HYPOXANTHINE	RXN-8751;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682	RXN-8751;HYPOXANPRIBOSYLTRAN-RXN;RXN-7682						INOPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN				INOSINE-NUCLEOSIDASE-RXN;INOPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	INOPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN			INOSINE-NUCLEOSIDASE-RXN;INOPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN		INOSINE-NUCLEOSIDASE-RXN;INOPHOSPHOR-RXN;DEOXYINOPHOSPHOR-RXN	
CPD-10809	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058	RXN-10058		RXN-14171;RXN-10057															RXN-14171;RXN-10057
Phosphatase-2A-leucine-methyl-ester	RXN-12322	RXN-12322	RXN-12322	RXN-12322	RXN-12322		RXN-12322	RXN-12322	RXN-12322			RXN-12322	RXN-12322		RXN-12322	RXN-12322	RXN-12322	RXN-12317	RXN-12317	RXN-12317	RXN-12317	RXN-12317		RXN-12317	RXN-12317	RXN-12317			RXN-12317	RXN-12317		RXN-12317		RXN-12317
