original_gene_id	renamed_gene_id
prot_D-herbacea_M_contig1.124.1	c_organisms_00248
mRNA_D-herbacea_M_contig1.125.1	c_organisms_00249
prot_D-herbacea_M_contig1.125.1	c_organisms_00250
mRNA_D-herbacea_M_contig1.126.1	c_organisms_00251
prot_D-herbacea_M_contig1.126.1	c_organisms_00252
mRNA_D-herbacea_M_contig1.127.1	c_organisms_00253
prot_D-herbacea_M_contig1.127.1	c_organisms_00254
mRNA_D-herbacea_M_contig1.128.1	c_organisms_00255
prot_D-herbacea_M_contig1.128.1	c_organisms_00256
mRNA_D-herbacea_M_contig1.129.1	c_organisms_00257
prot_D-herbacea_M_contig1.129.1	c_organisms_00258
mRNA_D-herbacea_M_contig1.130.1	c_organisms_00259
prot_D-herbacea_M_contig1.130.1	c_organisms_00260
mRNA_D-herbacea_M_contig1.131.1	c_organisms_00261
prot_D-herbacea_M_contig1.131.1	c_organisms_00262
mRNA_D-herbacea_M_contig1.132.1	c_organisms_00263
prot_D-herbacea_M_contig1.132.1	c_organisms_00264
mRNA_D-herbacea_M_contig1.133.1	c_organisms_00265
prot_D-herbacea_M_contig1.133.1	c_organisms_00266
mRNA_D-herbacea_M_contig1.134.1	c_organisms_00267
prot_D-herbacea_M_contig1.134.1	c_organisms_00268
mRNA_D-herbacea_M_contig1.135.1	c_organisms_00269
prot_D-herbacea_M_contig1.135.1	c_organisms_00270
mRNA_D-herbacea_M_contig1.136.1	c_organisms_00271
prot_D-herbacea_M_contig1.136.1	c_organisms_00272
mRNA_D-herbacea_M_contig1.137.1	c_organisms_00273
prot_D-herbacea_M_contig1.137.1	c_organisms_00274
mRNA_D-herbacea_M_contig1.138.1	c_organisms_00275
prot_D-herbacea_M_contig1.138.1	c_organisms_00276
mRNA_D-herbacea_M_contig1.139.1	c_organisms_00277
prot_D-herbacea_M_contig1.139.1	c_organisms_00278
mRNA_D-herbacea_M_contig1.140.1	c_organisms_00279
prot_D-herbacea_M_contig1.140.1	c_organisms_00280
mRNA_D-herbacea_M_contig1.141.1	c_organisms_00281
prot_D-herbacea_M_contig1.141.1	c_organisms_00282
mRNA_D-herbacea_M_contig1.142.1	c_organisms_00283
prot_D-herbacea_M_contig1.142.1	c_organisms_00284
mRNA_D-herbacea_M_contig1.143.1	c_organisms_00285
prot_D-herbacea_M_contig1.143.1	c_organisms_00286
mRNA_D-herbacea_M_contig1.144.1	c_organisms_00287
prot_D-herbacea_M_contig1.144.1	c_organisms_00288
mRNA_D-herbacea_M_contig1.145.1	c_organisms_00289
prot_D-herbacea_M_contig1.145.1	c_organisms_00290
mRNA_D-herbacea_M_contig1.146.1	c_organisms_00291
prot_D-herbacea_M_contig1.146.1	c_organisms_00292
mRNA_D-herbacea_M_contig1.147.1	c_organisms_00293
prot_D-herbacea_M_contig1.147.1	c_organisms_00294
mRNA_D-herbacea_M_contig1.148.1	c_organisms_00295
prot_D-herbacea_M_contig1.148.1	c_organisms_00296
mRNA_D-herbacea_M_contig1.149.1	c_organisms_00297
prot_D-herbacea_M_contig1.149.1	c_organisms_00298
mRNA_D-herbacea_M_contig1.150.1	c_organisms_00299
prot_D-herbacea_M_contig1.150.1	c_organisms_00300
mRNA_D-herbacea_M_contig1.151.1	c_organisms_00301
prot_D-herbacea_M_contig1.151.1	c_organisms_00302
mRNA_D-herbacea_M_contig1.152.1	c_organisms_00303
prot_D-herbacea_M_contig1.152.1	c_organisms_00304
mRNA_D-herbacea_M_contig1.153.1	c_organisms_00305
prot_D-herbacea_M_contig1.153.1	c_organisms_00306
